Alley, Aly
and, &
Apartment, Apt
Arcade, Arc
Avenue, Ave
Basement, Bsmt
Beach, Bch
Bend, Bnd
Bottom, Btm
Boulevard, Blvd
Branch, Br
Building, Bldg
Bypass, Byp
Camp, Cp
Causeway, Cswy
Center, Ctr
Circle, Cir
Close, Cl
Court, Ct
Cove, Cv
Creek, Crk
Crossing, Xing
Crossroad, Xrd
Drive, Dr
East, E
Expressway, Expy
Field, Fld
Freeway, Fwy
Front, Frnt
Gateway, Gtwy
Hangar, Hngr
Harbor, Hbr
Haven, Hvn
Heights, Hts
Highway, Hwy
Island, Is
Junction, Jct
Lake, Lk
Lane, Ln
Lobby, Lbby
Meadow, Mdw
Mill, Ml
Mount, Mt
Mountain, Mtn
Northeast, NE
North, N
Office, Ofc
Parkway, Pky
Place, Pl
Plain, Pln
Plaza, Plz
Point, Pt
Ranch, Rnch
Rapids, Rpds
Ridge, Rdg
Road, Rd
Room, Rm
Route, Rte
Southeast, SE
Skyway, Skwy
South, S
Space, Spc
Spring, Spg
Square, Sq
Station, Sta
Stravenue, Stra
Street, St
Suite, Ste
Summit, Smt
Southwest, SW
Terrace, Ter
Trace, Trce
Trailer, Trlr
Turnpike, Tpk
Valley, Vly
View, Vw
Village, Vlg
Well, Wl
West, W
